1,Mary Smith,"47 MySakila Drive,San Jose,CA",mary.smith@patient.org,5,t
2,Patricia Johnson,"28 MySQL Boulevard,San Jose,CA",patricia.johnson@patient.org,6,t
3,Linda Williams,"23 Workhaven Lane,San Jose,CA",linda.williams@patient.org,7,t
4,Barbara Jones,"1411 Lillydale Drive,San Jose,CA",barbara.jones@patient.org,8,t
5,Elizabeth Brown,"1913 Hanoi Way,San Jose,CA",elizabeth.brown@patient.org,9,t
6,Jennifer Davis,"1121 Loja Avenue,San Jose,CA",jennifer.davis@patient.org,10,t
7,Maria Miller,"692 Joliet Street,San Jose,CA",maria.miller@patient.org,11,t
8,Susan Wilson,"1566 Inegl Manor,Saratoga,CA",susan.wilson@patient.org,12,t
9,Margaret Moore,"53 Idfu Parkway,San Jose,CA",margaret.moore@patient.org,13,t
10,Dorothy Taylor,"1795 Santiago de Compostela Way,San Jose,CA",dorothy.taylor@patient.org,14,t
11,Lisa Anderson,"900 Santiago de Compostela Parkway,San Jose,CA",lisa.anderson@patient.org,15,t
12,Nancy Thomas,"478 Joliet Way,Santa Clara,CA",nancy.thomas@patient.org,1,t
13,Karen Jackson,"613 Korolev Drive,San Jose,CA",karen.jackson@patient.org,2,t
14,Betty White,"1531 Sal Drive,San Jose,CA",betty.white@patient.org,3,t
15,Helen Harris,"1542 Tarlac Parkway,San Jose,CA",helen.harris@patient.org,4,t
16,Sandra Martin,"808 Bhopal Manor,Santa Clara,CA",sandra.martin@patient.org,16,t
17,Donna Thompson,"270 Amroha Parkway,San Jose,CA",donna.thompson@patient.org,17,t
18,Carol Garcia,"770 Bydgoszcz Avenue,San Jose,CA",carol.garcia@patient.org,18,t
19,Ruth Martinez,"419 Iligan Lane,Santa Clara,CA",ruth.martinez@patient.org,19,t
20,Sharon Robinson,"360 Toulouse Parkway,San Jose,CA",sharon.robinson@patient.org,20,t
21,Michelle Clark,"270 Toulon Boulevard,San Jose,CA",michelle.clark@patient.org,15,t
22,Laura Rodriguez,"320 Brest Avenue,San Jose,CA",laura.rodriguez@patient.org,16,t
23,Sarah Lewis,"1417 Lancaster Avenue,San Jose,CA",sarah.lewis@patient.org,18,t
24,Kimberly Lee,"1688 Okara Way,San Jose,CA",kimberly.lee@patient.org,20,t
25,Deborah Walker,"262 A Corua (La Corua) Parkway,San Jose,CA",deborah.walker@patient.org,3,t
26,Jessica Hall,"28 Charlotte Amalie Street,Saratoga,CA",jessica.hall@patient.org,4,f
27,Shirley Allen,"1780 Hino Boulevard,San Jose,CA",shirley.allen@patient.org,6,t
28,Cynthia Young,"96 Tafuna Way,San Jose,CA",cynthia.young@patient.org,8,t
29,Angela Hernandez,"934 San Felipe de Puerto Plata Street,San Jose,CA",angela.hernandez@patient.org,11,t
30,Melissa King,"18 Duisburg Boulevard,San Jose,CA",melissa.king@patient.org,12,t
31,Brenda Wright,"217 Botshabelo Place,San Jose,CA",brenda.wright@patient.org,5,t
32,Amy Lopez,"1425 Shikarpur Manor,San Jose,CA",amy.lopez@patient.org,5,t
33,Anna Hill,"786 Aurora Avenue,San Jose,CA",anna.hill@patient.org,8,f
34,Rebecca Scott,"1668 Anpolis Street,San Jose,CA",rebecca.scott@patient.org,11,f
35,Virginia Green,"33 Gorontalo Way,San Jose,CA",virginia.green@patient.org,9,t
36,Kathleen Adams,"176 Mandaluyong Place,San Jose,CA",kathleen.adams@patient.org,15,t
37,Pamela Baker,"127 Purnea (Purnia) Manor,San Jose,CA",pamela.baker@patient.org,20,t
38,Martha Gonzalez,"61 Tama Street,San Jose,CA",martha.gonzalez@patient.org,15,t
39,Debra Nelson,"391 Callao Drive,Saratoga,CA",debra.nelson@patient.org,12,t
40,Amanda Carter,"334 Munger (Monghyr) Lane,San Jose,CA",amanda.carter@patient.org,15,t
41,Stephanie Mitchell,"1440 Fukuyama Loop,San Jose,CA",stephanie.mitchell@patient.org,7,t
42,Carolyn Perez,"269 Cam Ranh Parkway,San Jose,CA",carolyn.perez@patient.org,15,t
43,Christine Roberts,"306 Antofagasta Place,San Jose,CA",christine.roberts@patient.org,9,t
44,Marie Turner,"671 Graz Street,San Jose,CA",marie.turner@patient.org,15,t
45,Janet Phillips,"42 Brindisi Place,San Jose,CA",janet.phillips@patient.org,16,t
46,Catherine Campbell,"1632 Bislig Avenue,Saratoga,CA",catherine.campbell@patient.org,11,t
47,Frances Parker,"1447 Imus Way,San Jose,CA",frances.parker@patient.org,13,t
48,Ann Evans,"1998 Halifax Drive,San Jose,CA",ann.evans@patient.org,19,t
49,Joyce Edwards,"1718 Valencia Street,San Jose,CA",joyce.edwards@patient.org,20,t
50,Diane Collins,"46 Pjatigorsk Lane,San Jose,CA",diane.collins@patient.org,2,t
